"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,11500,36800,27900,21900,22300
100,414700,1372200,564500,686400,627300
200,3884300,11638000,2962400,2726100,2185100
300,9785200,28116200,6935400,6831200,6223400
400,27775600,82899000,22587100,11747900,9926600
500,44314300,110339400,36369000,15789800,14261600
600,96329000,221291400,64603800,22172200,21047500
700,170742700,444999800,99860100,33415200,30866700
800,313186900,516639200,133484700,44807700,45754500
900,399880400,787268300,193046900,55959200,52098400
1024,572902700,1125160700,310356500,70877200,65449800
841,410756500,609927300,139422700,46315800,42295100
480,39308500,107904700,35548200,13891100,13083100
461,33361300,101419600,31832300,13785100,12874400
697,139737500,423943500,105890400,38025900,32317100
646,101382100,319743300,103137700,29958600,31662700
88,299000,715600,305600,346800,324100
564,61005100,193614200,67696400,21641000,21565100
763,218988000,559559300,146712200,37846100,36282900
635,100601200,256968800,72699600,24882000,23181500
910,408732100,732684800,197983400,59130200,54638100
284,7905700,21673000,7033800,5013000,4280700
659,140781200,353203000,89805500,27782200,24958100
346,15691300,50736500,19253600,8290000,8089800
99,434900,1444900,1539800,684000,522600
393,23150400,83191300,20697700,10306400,9374800
398,21911200,53876600,19059000,10248300,9171700
947,488325600,824991500,190049500,63225700,60061800
654,91056800,274093000,77047800,31213200,27412300
499,46965900,106583800,30885600,14622500,13114300
