"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,328300,156600,214200,301500,155800
100,9203400,846400,2875500,3329400,1039600
200,16893700,2258300,9568300,2124800,1497200
300,14255500,1345300,3491300,5464400,5806700
400,34336700,1977200,7144000,3357500,762300
500,69241700,1718000,2536000,3266800,845300
600,128321800,2225600,3829200,3916300,1111100
700,180839500,2058100,3690900,3482200,961900
800,300014600,2694300,4836400,4317800,1212800
900,403570500,3685100,6207900,5772700,1495100
1024,493951300,3819100,6076700,4966500,1526700
975,365844300,5554100,4742800,4185600,1400900
922,265266700,3370900,4100000,4127200,1558900
477,33973700,662300,1035700,1018700,361900
244,5144300,180900,265800,248200,84600
244,5024500,199400,317600,290900,92800
366,16256100,421200,641000,588800,206500
1013,677869800,3983600,7521500,4995000,1822300
578,70143600,1072600,1722100,1994400,676600
614,90130700,3533200,2527600,2534800,930600
685,176847700,2046400,3251100,4168400,1217200
680,256800800,2283700,4422400,3417300,1110700
650,115280900,2023300,2522500,2291400,927700
659,107249200,1471600,2336500,2121800,797500
237,4849300,206300,293100,280100,86500
519,44736000,857300,1359800,1329000,521800
777,226404800,2188500,3205700,2918600,988700
789,268202800,2432800,3649200,3132400,1228400
513,46210300,796600,1433900,1235500,478200
765,259841300,2776100,4686800,4375000,1529800
