"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,17300,77900,71500,95900,79600
100,703800,13605000,7038900,3246200,5365500
200,10737600,75936300,44379300,14046500,12420700
300,12993600,242264000,149729300,35522100,51264500
400,28650700,656712500,368626200,65582100,82824500
500,54823300,1030507700,780122000,113953200,105287600
600,121463600,1675927300,1319038500,167297000,156118300
700,139991900,2659302600,2359895800,231276200,226621000
800,249415900,3995253800,3269745400,308671700,279468900
900,318381900,5787172200,4721658000,465795000,365569900
1024,541479400,8821056300,6961333600,584808300,533909400
269,9812800,146999800,117845900,31748400,25068900
684,134646000,2668100200,1918412600,229635100,201842200
872,288766100,5192882400,4092976200,377474400,351102900
865,281626800,5146924800,4268377500,367973000,375802700
217,5213100,94996700,70110400,22423400,15007200
443,41337900,624320100,669620500,87703100,80585000
682,134132400,2507987800,2015078500,236299800,200722700
310,14207400,208117200,176584600,38680300,42205900
356,21049700,327224500,259709700,58663500,48175000
20,82300,300100,213500,274900,272700
129,1707600,18056000,14470500,5930800,5158400
113,967200,10536100,8340400,4100500,3600300
543,66623100,1229827800,991131800,148100000,140169300
448,40343700,645845800,575357200,88696900,109058200
568,82901600,1417608400,1102212500,187041000,149324600
204,4980300,58208000,50128600,15151000,13293600
63,209400,2152400,1452500,1051600,987200
65,275000,2655000,1932800,1307700,1073500
212,5813800,71010000,55393500,18159600,14444700
