"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,17800,71800,57400,56800,52700
100,661400,6127900,5621600,2449100,2307200
200,6005400,73465300,36883400,9812100,8972400
300,12652200,229776000,156040900,28202400,26833600
400,28631000,424905800,294160100,47487200,61306300
500,53358400,1025081600,563760700,73915400,67039500
600,115077600,1551969500,1086975600,119384600,113327500
700,140666300,2631929800,1966874600,167674100,161528300
800,304061000,4155397100,2722511800,270484100,212813000
900,311522600,5717811100,4044447600,323711800,279009600
1024,791513200,8814047300,6460706100,461231300,395886400
224,11617100,72037100,49973000,12880700,13272400
206,4357500,57501300,41191200,10513300,9538600
845,237726300,4493081300,3409291800,244779100,285875300
195,4054400,47530300,31937600,9351000,8503400
582,80690700,1619641100,998620700,115499000,214992900
673,120843400,2191968800,1660604700,172166100,150072300
56,232400,1351600,1016000,724500,483000
435,34995000,531438500,427492500,66598800,49953100
933,467499100,6165556600,4574449900,300109300,297311700
548,72385600,1250272900,935737200,94892800,103590100
931,372058200,6180511200,4344122300,322289800,281156300
1002,439537700,7450462500,5350245700,360273400,440051300
996,428185300,7767106100,5186909800,372559800,333617400
154,2748000,43548100,16262600,5772400,13527200
472,44644700,776733200,493866000,73008300,62311700
441,47378200,562560600,394083800,57071200,56171400
149,1839500,21438600,14495200,5316600,4809100
269,9428200,127244800,93789500,19915300,25292700
316,14162100,208958100,148642700,29814800,35077500
