"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,29800,154500,119700,118200,107200
100,806700,11191400,5939800,3136000,2447400
200,3832700,48908900,27298200,7194400,6675100
300,11390800,170045800,121928400,16688200,15908700
400,25875300,386140900,192217800,31657900,32784700
500,49519100,675584300,385596100,49482800,46744300
600,97069300,1229524700,751261700,76096300,70453500
700,139859500,2049289900,1241522000,105775300,98508900
800,226712100,3439558600,1894229800,139122600,132321800
900,414371300,4937596900,2504220100,238040800,207130700
1024,474137200,6928264200,4110391900,241276500,222686900
764,195109300,2697131700,1524833900,126075600,120323300
902,302799000,4638112800,2630519900,182540100,225159100
628,122111800,1669661100,806696300,82788800,82122900
183,4054300,35484600,20291100,6823400,5839200
343,18747600,221910300,152801600,43273400,30348900
678,118978400,1800657700,1107517600,112354600,91237800
549,67277800,1145458500,618959600,61354400,59203100
521,56578900,849720300,436922100,55764900,52488100
962,360694400,5933734600,3202154000,206119700,208211800
420,31305100,440389100,304752700,45797000,36331300
259,7476000,94142800,55162100,12598800,11775700
415,31283100,745997300,214246500,33227800,34135300
56,131000,1087400,705900,467300,423700
787,221335600,3270586000,1844004300,142814800,210390500
493,67195000,846220100,446633800,48103000,111283600
660,106497700,1876396900,1024924300,93041700,97676400
603,84710800,1457233700,732257000,90257100,72307100
438,33220300,523738300,299349300,38058400,35418200
874,315218200,4648158200,2598635600,176739400,166865700
