"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
12000,66999,58701,57100,51800
783700,7745600,5115399,2136399,2324700
4126601,50486100,35030699,10447800,8898400
12397900,177755700,128078899,26020700,26710799
27667199,444490300,353972801,46812100,45282200
54769099,908926400,639746100,103384001,73191999
88714099,1617621000,1072537000,136100400,107103300
160085199,2489242300,1888552701,186022400,207817600
212404500,3750091000,2763079900,215690901,202098100
294705599,5735850200,3929817300,279876799,309395200
