"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
15900,88101,77100,84300,74501
899299,10131800,9696599,4836899,4926000
5077099,63306000,57926000,23040501,18140100
13798300,196813101,176496999,58148800,50595000
42375100,498679300,474557200,127753099,106932000
56491800,993185001,876931900,229906700,241069600
95484300,1817041300,1561783101,375360801,358499700
173267700,2787953199,2476176399,639003800,538070501
210534399,3951216601,3590732200,1264732000,967591100
311195701,5808104300,5323165100,2247820500,1654352100
