"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
14900,150099,83900,125300,81200
730900,9529799,11060200,16500101,6370199
4151300,61589900,55653601,46168200,36556000
12197200,254871300,244941701,223670100,118960300
27592800,498467500,462205500,473482200,463163599
72660100,968010299,974946701,1051816000,857589701
121398800,1835413700,1774822400,2062401700,1527134900
206923200,2638638899,2543242301,3453061001,2467200301
203434601,3946625800,3677665599,5337800299,3379962100
287767699,5493040200,5487097400,7317641300,5971055900
