"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,489800,104900,483500,149700,69200
200,5715300,323800,1373400,445100,177200
300,13001100,525900,2602100,1871100,945100
400,30546700,1113800,1506500,2240600,3684100
500,100975900,1510600,2102900,2640000,824100
600,103583700,2002600,2161900,4564400,995000
700,167937900,2108600,3157800,3869400,1200400
800,259675700,2838100,3955300,5052800,1428200
900,372364500,3779900,4471000,7528800,2147300
1024,578322500,5530800,6829700,8885100,5510900
655,133987900,1956600,2425600,3630000,1024900
682,164574500,2484700,2727800,3599100,1051700
658,136840400,2946300,3272700,4032900,1465500
272,9283700,384800,438200,616200,180200
917,431025400,5846000,6529100,8399900,2690100
799,247642100,3239900,5636000,5467500,1488100
533,70347900,1406600,1557900,2222100,635600
930,412630100,4292300,6008200,8152600,2007400
434,38064000,957200,1160500,1499200,439000
608,109887500,1992100,2327600,3196200,1093200
413,33033600,979800,1125400,1446100,504700
450,46863300,1051800,1296000,1792300,653800
841,282148800,3301300,4351500,5840100,2369100
819,265095900,3195600,4073200,5417100,1429500
164,2633100,199100,232600,336800,144200
840,316036700,3915900,5116700,6450800,3147200
746,200633400,2960700,2919800,4417700,1356700
836,290252200,3755300,4314300,6207400,2426600
643,137892300,1801200,2399800,3524300,1130300
64,132600,38400,42400,52600,26300
