"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1216500,12649100,11485500,10735100,8411200
200,6489800,97537600,86488800,81508300,107438500
300,19447300,355074500,301640400,335229400,221677900
400,45883500,863066200,729045100,639059500,525375600
500,84846400,1632835700,1399653500,1485285200,1134000800
600,135821600,2641694400,2427173500,2467529600,1900812500
700,247576200,4070919400,3851796600,3973795500,3046632300
800,369092800,6232078000,5774027700,6004723200,4511532200
900,443687800,8690368400,8064937100,9150239700,7090733500
1024,735155800,12951562800,11932818000,12091722400,8894381400
321,24980200,403491700,366006700,328580900,269331000
57,527300,2400900,2157800,2511700,2064700
217,7936300,118885400,107799600,98431700,86052300
577,142006100,2447053800,2287520800,3997524300,2876056900
58,271700,2426900,2531700,7204300,2105000
695,215974300,4103464300,3761003400,4449788900,2984710300
81,967900,8179800,7897800,6430800,5124900
915,576153200,9207373000,8480825200,9640315400,7331014100
819,564745000,6941859000,6506108100,7310543400,5837319700
394,46576800,917359000,717635900,1045511500,568803800
977,703440500,11668026800,10796490000,13969439000,8710338700
837,369681400,7161617800,6533830900,6876476300,5026676900
35,66900,542400,593000,584300,503300
743,264967100,5012668600,4509225600,4876634100,3702103900
675,187116600,3797448800,3432092900,4071985500,2823222900
967,589162000,10785250400,10113897900,10942096900,8030359400
487,73181000,1474227300,1289372100,1582268100,1066395800
980,624222400,11269373200,10344594100,11333497800,9647244600
529,91831900,1780268000,1636561900,1813635600,1072397900
862,418823700,7803140800,7139537700,7742717000,5371224400
