"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,731300,1375000,670100,694700,614900
200,4761000,9808800,3385700,3231100,2915700
300,13375200,22534300,9906100,7572100,6861700
400,33498200,55996700,20531200,15343500,12478200
500,64287800,112385600,33632200,19956800,18723000
600,107636000,219659500,56951200,31933000,29013300
700,167051100,302267600,141514900,47718100,45264400
800,263396100,505709800,190734000,63374300,59148900
900,376849800,800987500,250420200,78974400,73249300
1024,678947100,1343276600,379194800,129907900,95350300
162,2854200,7440300,2667400,2562600,2081500
609,114591400,212712200,86966900,36369500,34195300
139,2022800,5804700,2190000,1885900,2072600
550,89700100,199491300,65163000,28249100,25452700
966,681063500,1019853100,314796500,91472500,96522200
33,32400,95500,71400,72700,68900
480,56114800,138220900,47804800,22030700,19003100
414,35298100,69674300,25912500,16148300,13017600
99,556100,1556400,644600,786400,732700
748,222245300,418518100,153408900,59246800,51309100
51,85900,170100,114200,140300,111000
147,1846600,4711500,1584000,1486100,1328300
46,78400,172800,110600,150700,139700
73,230300,495800,314000,353800,307600
303,13613500,36438100,11116100,7460000,6945300
372,25576200,42299700,15317700,10330400,9922400
934,491190400,967040300,331597800,130299700,95308300
83,348900,930900,517300,568800,543300
981,699160800,1229646900,390506500,111687600,99199900
65,178400,404900,293900,295700,287500
