"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,8959700,1276300,3194700,4264400,1576500
200,16611500,2115500,9967700,2088000,2404500
300,58359700,1404200,3131300,2735500,4311900
400,34646500,1860200,5189100,1771600,1730300
500,66597900,1429700,7551700,1939800,8637700
600,123397700,1519300,4032000,4028900,1274900
700,191618700,2888100,3646600,4291900,964400
800,331518300,3678500,5029100,5123100,1342500
900,437272200,6422600,5788500,5838900,1599100
1024,648049500,4776900,7258000,7321700,2829400
986,518913100,4115800,9348400,12079900,5159700
831,298395900,2760300,4276900,4524700,5055100
614,110534900,1467400,2349800,2448800,1037700
348,23451100,539300,759100,978200,343200
518,66502600,1031400,1669400,1777100,494300
731,186969100,2390600,3442100,3900700,960200
106,555400,713600,102800,125000,35900
983,519033600,9113300,6490600,6298300,1700800
822,269482800,4335300,5143300,6081400,1672900
602,104137000,1557300,2307900,2944000,997700
609,106739100,1423500,2266500,2341500,986000
315,15313500,398600,679200,841500,172200
245,7007300,242700,364100,475100,109000
439,41035000,757500,1130700,1199400,352800
762,211582800,2242800,3813900,3685000,1009800
730,186286500,1992400,3288300,3563300,1007700
151,2073600,152800,181400,199500,56200
45,61700,17000,20100,22300,8800
29,16300,9300,95600,11400,6800
882,336760600,3262700,24078400,7318900,1825600
