"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,954500,11124500,9611600,3797800,3032900
200,7539700,91131900,72004000,14573400,14038400
300,20339000,300958300,190909500,37419700,34663300
400,60120700,706118800,478510300,71271700,66391300
500,85933700,1489605100,1083354200,111499800,120877500
600,172167900,2677384400,1762969200,208520100,167175200
700,222359300,4000148200,2907509500,233351000,234401200
800,337599200,5705840000,4263102500,335634600,340113000
900,471807600,8315119000,5998390300,418834900,400172800
1024,737450000,12228236300,8915503200,601959300,546928700
951,554879100,9746967300,6909493200,468603700,454426800
301,19747100,324691700,252707800,36818900,33980400
222,8091200,114398500,79832700,19458300,18004200
470,71118700,1143462100,842818100,95420100,95187700
346,29306000,503537900,389496000,51177600,47601400
517,90378700,1629801500,1172770200,124488000,122737900
337,26318000,422285800,311750900,48721800,44778700
30,45500,283900,246700,264600,294200
745,319506000,4893883100,3412318600,290613900,279647600
704,251352900,4027653700,3196787000,259798800,236326600
461,64228600,1135040700,824895500,95502300,83652000
245,10778600,155885300,110819800,23677600,21730900
496,79338800,1454396800,1007394700,119215800,112146300
633,165186400,2954336700,2138067100,213832900,194925800
504,96778100,1414529100,995674300,123191100,107746500
522,92651800,1718296100,1174759400,139994900,123026100
755,285220800,4994487900,3568817900,315733900,280456400
94,836300,8829000,9036700,3440100,2708200
493,83633600,1387052700,945555600,115832700,106539900
666,184780800,3524244100,2474633300,224277300,216283400
