"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,734900,5777400,3076600,2430700,1563000
200,5536200,39592500,17432100,6876100,6446900
300,15676600,155807500,83537300,20793100,16510900
400,35822900,387636300,193874000,34030900,31554800
500,77305900,848529000,349287800,54861500,50094700
600,139218100,1526303500,605271600,78619900,76875600
700,210071200,2351530500,956442800,104418300,103412700
800,364544400,3325451500,1500631300,138478400,132724000
900,673258900,4448307600,1723690600,194401400,173673000
1024,660584100,6457868600,2664053300,226358000,213450500
1003,687834700,5848761900,2439409200,239237100,244672100
531,81636500,788330600,367453800,58485200,55557900
202,6416300,40434300,18839800,7390600,6837500
129,1540400,14017700,6669200,2799600,2784000
202,6039600,48164100,22098300,7460600,6678300
725,210911400,2120956200,939752300,111764300,103463500
380,33457600,296769800,120769500,29021000,27550700
994,701511400,5781933200,2584787600,234782900,231132600
1002,967083700,5465437400,2408630400,217503500,233239900
181,4389000,34084500,13910400,5536700,5092000
743,290135100,2212557100,924369400,116691400,105724500
734,215464600,2301425200,1028026400,113041100,104722600
424,55774600,407417900,173640700,37496400,33620100
346,24273600,203203100,87275700,21909300,20195300
320,18980500,166539000,71993000,19207000,18894100
842,319838900,3380589800,1520889900,154011100,137299700
201,5513300,57279400,17450100,6867500,7276200
907,425166500,4175153300,1813620600,193035300,177377100
420,40666200,402057000,157946200,32786500,31899900
645,153690400,1540366300,833765000,86619600,78721000
