"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,556900,1202500,570700,752200,1068300
200,4242200,10081200,4049800,3110300,3328200
300,14643900,23281100,10381000,7373300,6641700
400,35050900,63853200,20139300,12756300,12578500
500,64643600,120133100,50082500,20589400,18651100
600,131379300,255936400,75479100,32898800,33042500
700,186585100,317204200,128569500,46447300,40668900
800,375391900,599408500,201099200,62156900,56295800
900,523568700,888561600,299741200,72868500,68420700
1024,798272200,1368271900,409319500,97234900,94848000
162,2422300,8357000,2653500,2601100,15931300
609,110118700,225279300,76591300,34413100,36354700
139,2516100,10074800,3295500,2187500,3187200
550,84961500,148549600,61573500,27157500,24782200
966,486221900,1037045600,283924500,88113600,79582000
33,32400,98500,66800,67000,79500
480,59320600,135744800,42093600,19649300,18728200
414,36530700,72229000,26866400,13816100,12928000
99,564400,1557800,628600,863700,759600
748,244703600,430220800,155125400,53722600,46737600
51,83500,172200,111800,123100,112500
147,1688400,4149700,1596800,1534700,1422500
46,67900,163800,106900,121000,116900
73,228300,477700,304700,335200,298200
303,14204800,36160100,12231200,7988200,6592000
372,25584200,39902700,14661500,9493100,8906000
934,447717200,926333600,336825800,86704900,81604400
83,374000,991700,669500,542100,557900
981,598649800,1170542100,414465300,94095900,87826700
65,201000,427300,278500,289500,271600
