"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,7818100,834400,3106400,3521100,1121500
200,19107200,2359400,9094200,2014400,2239300
300,60606200,1420700,3282700,2036200,3472900
400,37184500,1884000,5796500,2538500,3059200
500,66862400,1845800,2633900,2157000,4423100
600,159147100,1884100,3094700,4181800,1189700
700,187254800,11441800,17438000,4548300,1160300
800,295965200,2915000,4364200,5629800,1814300
900,371101400,3562000,4967200,5172000,1699600
1024,601818400,4968900,10204100,6824900,2287000
986,564104600,4142200,6417300,14266200,5567000
831,280142100,2936600,4260300,5272300,5337300
614,108724900,1433000,2487400,2474800,867100
348,20392300,475300,746500,783500,233200
518,70382200,1048700,1769600,1777300,563400
731,203309300,2204400,6374700,3631500,1200100
106,557100,93900,99900,115400,37300
983,508777600,3650700,6381400,6161700,5081600
822,268240600,2409000,4220500,4241900,1416300
602,110089900,1487600,2265500,2705900,875700
609,110160800,1551000,2609900,2538900,828300
315,14910500,503500,569900,611900,185400
245,8209300,320200,349700,393700,127100
439,39441000,741900,1241400,1897200,613600
762,215617300,2673400,4021400,3785800,1216600
730,204205000,2122800,3394400,3677700,1119300
151,2369800,111500,200600,215600,91500
45,50000,14800,19400,19700,14600
29,17600,13400,163300,13500,12700
882,352796900,3276300,4752200,5454400,1688700
