"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1119800,8938900,7679500,2700500,2308900
200,5986500,71103900,42791100,10385200,9815800
300,17569700,245066600,138922400,24273700,23160600
400,40563300,548070000,368426300,50120300,45465100
500,73613300,1112122000,627227500,73205100,68499000
600,124388800,1996578900,1144140800,114265600,102410400
700,200785500,3398116100,1793514800,157737400,153141600
800,304034600,4610433900,2613918500,217197500,203948400
900,483646600,7123827000,3885276900,261041900,265794400
1024,770612500,11314087400,6727071500,390662200,347376000
540,109729700,1738742800,922086500,92476400,86295500
705,288698000,3781817400,2118221600,173166100,167012700
181,5827500,58680200,32816700,8459000,8714300
892,611545200,7547359700,4304572500,270468800,249034100
131,2231500,23820400,11947700,4511300,4062700
1006,672467500,9578510000,5320465700,318796200,316705600
589,122421800,1874276300,1106875100,102323100,95569900
373,32608800,461160000,271657500,41210000,38093700
664,166329700,2715573400,1587190800,135912500,130803100
892,456417700,6841767900,3748337500,269431800,292143100
1000,643112800,9226433500,5248974800,346872400,314913800
278,14513100,180417000,107646800,21813500,20104400
1015,697165600,9715127000,5570757900,345487800,374201500
513,83213700,1265954100,671152700,86410400,80229200
92,832500,7253700,4508400,3884800,3178000
129,1815100,22162500,13177400,4750800,3821100
635,170271900,2462468900,1367921800,128664700,119682800
748,262163600,4429530100,2570418200,179781200,187189800
362,33738000,461223200,248000200,36770300,36197800
885,589112800,7188021800,4244602000,283980800,251629400
