"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,493100,110900,516000,127300,85900
200,5707200,363400,2029900,382400,143500
300,12498600,641500,2663800,1870600,1094400
400,49593300,4011800,6280300,6820400,4157900
500,60146000,1427500,2633900,2634200,3895500
600,104017700,2036600,2968400,3395500,1308100
700,217688800,2806300,3016900,4532600,1389100
800,307967200,3887500,3738600,5256500,1700800
900,393540500,4204400,4758800,6425600,2195500
1024,647172600,5873500,6995800,8754400,3060800
655,131434400,1930000,2612300,4022600,1157600
682,155658200,2195100,2536300,3536800,1176900
658,150458300,2390400,3954200,4075600,1853200
272,10689400,514000,530500,646600,282700
917,424570200,5675800,6371000,7637500,2915600
799,282138500,3366900,3971000,5744700,1716800
533,76400900,1762700,1949900,4817600,813400
930,430649500,4339600,8684400,7152300,2284500
434,39901100,930500,1097100,1473700,526500
608,110825400,2069200,2491400,3314900,1494900
413,33939200,981000,1107900,1477600,592400
450,43409600,1536800,1761500,1783100,786500
841,377970500,3413500,4848000,6061100,1913000
819,284525400,3344400,3700700,5889400,1584400
164,2521200,235200,280300,359100,130600
840,314093000,4185200,4620200,6203700,2508200
746,222086900,2433400,3102200,4270300,1331100
836,303784500,3904500,4543500,6371800,2029300
643,129136400,1738300,2343500,3192600,1033500
64,132500,32300,42000,51100,26300
