"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1007400,12100600,7877800,3451000,2838000
200,6937100,83180300,55818300,14535400,15389800
300,21453900,317685600,238961100,48418200,44176300
400,44863600,668375700,486721000,69450700,66196600
500,79524900,1417901400,986138000,116091700,107402600
600,138839200,2413808000,1735332400,171033100,177151200
700,218997500,3927445700,2738758200,245594700,226192900
800,326987500,5741765300,4128577900,314274800,295604200
900,482735800,8469212800,5966469600,420430500,375099800
1024,733689700,12397999100,9095087500,635528000,531265400
951,559523400,10119402200,8018269600,497595200,469930000
301,21177800,303361800,231298300,39458000,36758300
222,8406900,115886400,79919100,19361200,17498300
470,72236300,1363072700,898187500,97371800,94741000
346,29228000,498133100,324617300,52497400,50585000
517,98616800,1681612100,1289296100,149929300,120030400
337,27790300,502428600,338586300,52810400,49149700
30,56000,289500,208200,204700,193000
745,326555700,4971983000,3464497200,282696100,279673200
704,219027100,3983028500,2816864400,261022700,242078600
461,72192600,1104543700,770843500,89131900,84760200
245,11191000,146714200,102427600,22085500,22937500
496,83046900,1400597400,979111200,106375100,98323700
633,175416200,2903562600,2038434000,194631400,190314100
504,87967500,1419519000,990631600,112179500,111579700
522,106460300,1618444500,1129278400,138702100,119867500
755,281428600,4844145300,3456648200,272301900,272648000
94,931500,8679500,6672500,2837800,2687800
493,74602900,1317635700,926819200,100761300,98344300
666,181614300,3286246000,2420268700,220762700,197302900
