"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,14000,67000,55000,53000,47400
100,655500,5872400,4021600,2314700,1829500
200,3855800,46414200,25449100,7164700,6550900
300,12600300,164523600,97852500,17397600,15898100
400,25794100,393149800,225453200,30775200,30566400
500,48797300,779428900,578900700,50016700,45517900
600,86932100,1523783500,720601200,83096900,70265800
700,171036400,2133709700,1268447300,107491600,99184500
800,229344300,3248375900,1746609100,152129200,131536300
900,362560700,4660267600,2663186900,193464100,161885400
1024,473634300,6842051800,4124042000,229531300,234907700
764,171515500,2939377200,1610220300,134955400,116284000
902,359433400,4915942500,2616149400,171211800,176996100
628,108008300,1596891300,898460200,87066900,97041400
183,3142200,35342800,20926200,6363400,5675800
343,16417900,235974100,136738200,21455400,30778200
678,157231900,2023112000,1088910700,91525600,88267400
549,93617600,1020130500,581924700,79001100,57630200
521,56106900,947724700,503852400,54987600,49263700
962,415974500,5974478600,3433609300,204754700,207126500
420,29409600,449442100,223281200,37440300,31202300
259,7489000,94916500,54832400,12200500,11209800
415,29652700,410090700,226517400,35718300,31599500
56,132900,1090400,693300,462500,418200
787,218368300,3108176100,1848950800,136167700,122652900
493,48715500,713336900,393203400,48874200,101842300
660,109401100,1816863200,947427000,96972500,85650000
603,85423600,1514367500,774514200,132503400,67832400
438,33333400,458023500,250118000,58218500,56711800
874,368835600,4477968400,2428381800,171485200,164224300
