"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,13600,71000,64000,65700,58200
100,1082700,15869700,16485400,4094800,3849300
200,4976900,58626100,50707600,19441300,16537200
300,13462200,210624100,172002300,59998400,48787600
400,30333900,480577100,429293000,162692400,117403000
500,54680300,1030842900,1006753200,283660100,212585400
600,96232000,1744248100,1726332400,441642400,376396100
700,151520600,3004926300,3160199800,692686700,641888000
800,348354700,4603023200,3875033000,1275674600,862249800
900,342811600,5869997200,5574563900,1974651800,1466339400
1024,569589400,8992472400,7720805400,2190991800,1863431000
840,253250000,4596052700,4421525400,1374894400,1110999400
913,477392900,5885391700,5487665200,2021779900,1464489000
375,26990500,397465700,359829900,113318900,105940800
165,2958700,33322500,28944000,15359700,14410300
958,422878000,6975047100,6354829000,2330190200,1784777800
928,323964800,6235100800,5816944300,2022355800,1482178700
681,134590200,2586046100,2342057300,880088800,646290500
679,134402600,2426063500,2258701700,584633100,434008200
102,897600,10674100,8686100,4860200,4516600
50,143500,1126900,1001600,818400,700000
32,44700,308900,278700,244900,209700
235,7081800,93985100,83396400,30031900,25496400
286,12443900,169970400,227014300,72853200,40718600
847,330622400,4732403100,4671494800,1527236300,1323114600
359,21556900,366433200,364927400,99495100,85150100
331,18571800,274051600,341691800,94626500,97766700
222,8684000,92584300,78692700,27909300,22220000
938,533809200,6807528600,6045337900,2110134300,1759955800
621,110863200,2159285000,1682535200,741613700,635251700
