"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,7800,25800,18700,15700,15400
100,390100,1235000,430400,458300,395600
200,3056000,10674400,2477000,2227700,2205800
300,8674400,26665800,6274300,5193900,4524600
400,29507200,58662800,14441900,9637100,10345100
500,40893000,90400600,28802600,14506200,13241100
600,69586200,170355700,54838200,22422900,23234400
700,125035700,384460700,91047000,30965500,28487600
800,177142600,411597300,103284100,39325600,38445600
900,371303300,660294400,164649400,53436700,48290400
1024,399031400,1018621300,283774600,70904100,59901800
841,191978300,511773500,121149400,60884200,42149700
480,36596600,87879800,29564900,13265800,12004000
461,33871500,82767900,20268700,12662300,11568200
697,122180500,332575900,88799900,29769400,27438000
646,87320000,257464100,89261900,26507800,24313200
88,621200,1490300,849400,783000,645900
564,57950800,181687500,46854200,18745500,17268300
763,152057600,430257300,136532100,36446200,34921200
635,85102600,196726700,84846000,24568400,22246400
910,386598900,701912900,172307600,57337000,48381000
284,7706700,19390800,6177000,4484300,4043200
659,92602900,253936500,76491000,26981100,25841200
346,13630000,41826200,12245900,7485400,7221200
99,355000,1466100,686000,926000,524800
393,20026300,55466400,14320600,10020000,9337000
398,20776500,57615400,19759000,9911000,8084600
947,286780000,730712500,198896600,58721700,54131500
654,90617400,314338100,77327400,26524100,23791500
499,41303600,94994400,28122300,15794100,12857900
