"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,324500,168600,228200,235300,133600
100,8193700,900100,2655800,2873700,800900
200,16598900,2282900,8962600,2276000,1744800
300,62131100,2101100,5180500,3983600,3860700
400,34419900,2042500,4681600,4107700,762100
500,72233800,1378000,2952600,2614100,723200
600,148769800,1537700,2629400,2496700,858000
700,216978800,3089300,4168900,3626500,1281100
800,272606800,5053600,8642300,7910700,2145000
900,268087600,2542300,4063500,3518100,1454700
1024,383495900,3364700,5789700,4711800,1671300
975,363775400,3249800,4700900,6996000,1631700
922,257926200,2601400,4445300,3838800,1374800
477,33811500,645700,1131000,978400,365800
244,4654100,177200,261800,253100,87700
244,4468400,153600,249900,244100,92000
366,15521500,384500,584600,549500,204600
1013,407142500,3902700,5571800,4765100,1941800
578,63627000,941500,1496200,1427900,561800
614,74023700,2094000,3842600,3467800,1104100
685,106988600,1440200,2332400,2033600,783400
680,102087300,1548300,2237800,2231500,777500
650,90873300,1165700,1966300,1834600,729200
659,88690000,1986500,2107000,1905500,741500
237,4309300,174700,241000,242100,87000
519,44934400,775900,1246900,1193100,445400
777,148295100,1758200,3216700,2631300,1003200
789,191126800,1917200,3023700,2712600,1016700
513,43648200,780500,1181900,1095500,467800
765,153462300,1660800,2749900,2628500,1093100
