"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,45000,254600,144200,59000,51100
100,1728500,9103500,5293300,2080100,1865200
200,4164200,54284300,34786000,9698500,8837500
300,12778100,188550800,147425700,24906600,24192800
400,28656500,432402400,297158800,44457700,42917800
500,56966400,959980000,595366300,75485400,65306600
600,96638100,1801700500,1127280600,117452700,106768100
700,169584400,2648363300,1783410400,170633800,180482100
800,230606700,3826057800,2572926900,230019800,234001300
900,421534500,5492849000,3842963700,269774000,270248600
1024,477196600,8193616100,5752152700,378214800,341779900
224,5708700,68252000,49171400,12090800,11327700
206,4797400,54438300,37493900,10117900,10503500
845,265373800,4253955100,3136809400,236947800,236306700
195,4086500,46959300,31547100,9004900,8187900
582,79096100,1338011800,935893400,103316700,97782400
673,121316300,2172191600,1507845900,173875000,130575300
56,144600,1153200,809700,527200,474400
435,34626000,532123300,366163200,54565000,50166200
933,322997300,5904495300,4280953600,296159100,328722300
548,65088500,1118102400,811297300,108969300,86286000
931,320779900,5816070200,4144992800,304169600,325396000
1002,425577700,7527094700,5633667800,382855300,373376600
996,488161500,7455727000,5209063100,346087200,329913200
154,2502200,44288900,16241000,5535200,5096600
472,44251000,744648300,530852100,65389000,67526100
441,38516900,635292100,482853500,57792500,49752100
149,1839400,22468400,14547000,5484400,4935400
269,10937900,134253500,90901700,18945400,18200400
316,29955600,246010900,150046700,29369000,25100100
