"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,11500,54200,39800,32300,31200
100,481400,3060800,1711200,1050100,928700
200,3843500,32533000,11693300,4747900,4336900
300,10210500,100797800,40934600,11446500,10405100
400,34712700,253441900,93773900,22157300,19128900
500,45929800,417457100,194250600,34493900,30500900
600,80931500,831480100,330437300,68584000,59549600
700,139448400,1282109700,546813800,89531200,65079100
800,184399000,2104694000,734999200,86211600,81744300
900,264736400,2894595100,1183774000,117830000,111057500
1024,432156100,4312432600,1846639100,166486300,138644400
667,117655400,1160233700,439868600,60603200,56977100
757,160874300,1642185300,706519500,76089400,73925900
302,10830600,97535300,40614600,11350600,10421900
790,172878400,1876301900,725172600,87534300,81897200
76,296300,2067400,1057300,685300,632600
497,42881500,416644600,196958500,31376300,30880600
147,1735600,14002000,8775000,2912500,4261000
820,210345800,2223747800,827884200,137064800,86062800
447,52289500,309278400,161446500,25636300,23558600
811,217861100,2040554600,757332700,93321600,85026800
249,6084300,54913800,21227900,8401400,6867100
183,2531600,25545000,9191600,4608400,3754200
369,18550800,203762500,81112000,19205600,17458000
347,16055300,168176300,65436100,14906200,13867200
417,37440000,322581300,105684600,24052800,24806100
465,44925000,412299400,156080900,32100500,28061600
513,50454900,678826400,193372600,36589300,36394500
524,56765500,515489700,209842800,37882900,37903500
264,9058100,60907000,25387300,8425200,7635900
