"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,6200,45300,54200,95400,89500
100,353800,472300,297500,218500,439400
200,8054800,931000,1462500,2641200,588800
300,13559600,942500,1884600,1261200,312300
400,23046600,1059300,3345400,2002900,419700
500,43762600,2027100,1928400,2688300,3463200
600,76909400,2250600,2775800,4124900,3216400
700,112707700,1805100,3717000,4654100,1432200
800,239931800,1950000,2708200,3390900,1255400
900,251718100,2212900,3361600,4231000,1633600
1024,395296100,5775300,7470200,6198900,2470100
50,45300,26200,27200,27300,18100
108,518100,61500,85300,97500,42000
654,87963500,1452100,1896700,2603500,1006800
124,997100,75100,99500,193300,51600
813,174811100,1710800,2595200,3384400,1172800
244,4833800,273700,338800,373800,154900
139,858600,114800,138800,147400,63900
150,1325700,112800,140000,157500,103900
211,3701200,217300,320900,366700,119700
147,997100,93100,114300,136000,57700
49,43400,20200,22100,24300,14900
670,94953600,1270100,1864700,2410400,889800
58,69500,21000,28200,28400,15800
158,1305100,268500,239300,255600,152900
704,110529500,3416700,2746100,3239000,1599200
142,5148300,245900,276700,407000,149500
635,81964000,1156800,1635300,2313600,932100
254,5126100,210300,303000,356900,156600
595,65403700,1530900,1635700,2169700,925700
