"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,16500,97900,75900,74600,50900
100,666400,6465000,3991200,2284200,2075300
200,3633500,46235400,31866000,8099200,7188400
300,11448200,146713900,85838700,16965100,19127700
400,25713800,414589300,192190100,33357400,34025200
500,49725100,775201000,409839900,50282200,50146000
600,118324100,1385963600,767721400,78715600,81892700
700,147686400,2162796800,1314015400,102921200,113403000
800,210939300,3075395300,1821217700,155372500,139699200
900,300811100,4621661500,2670913800,182939700,187978300
1024,586723500,6930059800,3993320800,301787800,239585900
764,205256300,2728205900,1720806600,127605100,159201800
902,330087000,5252418200,2677673300,196834700,214130800
628,115573000,1580928800,837082500,84495400,86265900
183,3014800,35390200,19943900,6046700,5982600
343,16551800,217855500,149815400,24458000,24931900
678,211722400,2044520500,1092647800,100886900,102088900
549,67824400,988965300,598490600,64554200,65864400
521,87586700,914073500,480383300,57199000,57147600
962,412073300,5888217100,3222465300,212352300,222530000
420,33505700,437677800,243796200,34950400,35835400
259,7517100,97201900,73877300,13166000,12657700
415,29276500,401464300,260259700,34051600,33704900
56,321000,2556400,1603500,1180700,1049100
787,186739600,3481810700,1783777700,151999800,135524200
493,46788000,695807700,402114800,49256700,49587600
660,112128100,2043897900,1213718500,101623800,98830900
603,102833900,1761094500,964069300,91105200,94103600
438,35832900,586675700,402189900,48418400,48189900
874,265474000,4350199600,2902322000,199354700,178101400
