"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,11500,35100,26000,24900,20100
100,453800,1363200,437700,477600,409300
200,4024400,9467700,2661500,2213000,2195400
300,9222700,25362300,7137000,5048000,4697000
400,21449200,68482900,13849100,9569200,9128400
500,41108800,104263200,35978000,14849100,14032600
600,120287900,209572400,55166000,21822900,21047200
700,113779300,313086500,124254300,30685900,29592900
800,172478000,441155000,127113200,38099300,36928200
900,285632000,755141300,166347900,52149200,71303000
1024,410796500,996677800,297280200,68605400,64572100
841,198667500,503642700,121021000,44742400,42603600
480,36500300,97324100,27835800,13258600,12762500
461,31942500,81634200,20821700,12824500,12134500
697,111194200,357803900,92405400,30390000,29252600
646,107896800,289059300,113528500,41624300,33867900
88,261400,661300,274400,352700,312600
564,58796600,161020000,51124900,18816500,17612600
763,152271800,399708700,114449600,36847500,34959000
635,81814300,253873000,73779400,26629600,25773800
910,356870000,734681200,172001600,54892700,51169500
284,7840700,19630600,6241200,4519300,4353500
659,93770300,262725800,71372800,26746500,25818300
346,13391700,40734300,11017100,6677500,6353800
99,350600,1115000,392000,466400,406600
393,19928700,53980100,14298200,9432000,8936700
398,20709700,52851500,17220900,9443400,8589500
947,296366300,787289000,224457000,63181300,75430600
654,89004600,262630400,74035900,25926200,24887200
499,41495800,109736200,35276300,14795100,14080900
