"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,658500,297300,479900,492800,263800
100,7138400,903900,2361300,2762000,839000
200,18763400,2651800,12762000,2491100,2054700
300,18788000,1815400,3243500,2309200,3506400
400,35966900,1970100,5551900,1464100,734100
500,88097400,1817500,11702600,2292800,3252400
600,124211200,1566200,3475400,3913800,1357200
700,186508900,2168700,3505200,3687400,1184500
800,278192500,2671600,4773500,4676700,1443300
900,462583100,3937400,5853600,5980000,1765900
1024,628390200,5021500,7095900,6511100,2095100
975,341906200,3081000,4409200,4569300,1840000
922,252721800,2657100,3882000,4009800,1417300
477,33777100,673200,989200,1044700,390400
244,4540200,176400,248700,260200,90200
244,4585200,185200,255400,267000,92400
366,15612800,398100,549200,596400,217300
1013,481768700,4817800,4948400,4889000,1608800
578,59975100,1186500,1501800,1600700,569700
614,139766400,1059800,1641700,2072500,718000
685,161890500,1303000,2184800,2237200,913400
680,98206300,1377000,2034200,2307100,785400
650,107940200,1657300,2163800,2086500,748600
659,114476300,1238200,2015800,2055100,832600
237,4562100,346600,326600,272900,117600
519,49212500,821100,1211100,1238800,435300
777,178133100,1890100,3096600,3164500,1054300
789,170459600,1762400,4064700,2988400,1250300
513,42353200,758500,1191400,1247600,469400
765,201840300,2376800,2912000,3174700,955300
