"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,12400,70200,57800,58000,54200
100,659400,6198900,5214600,2568000,2228600
200,4318700,61152600,39477000,10758900,9797300
300,13398300,218265700,131439700,25551900,24750000
400,27982200,484804300,310429000,50495900,47058900
500,51761500,868015500,684578100,74926100,98297500
600,103116500,1821774500,1354335500,119900300,118796500
700,171182400,2754185600,1813012800,163744600,166380100
800,202389100,4188196900,2712772800,233308900,242401600
900,402569300,6260451800,4064121500,315198000,286286300
1024,525736100,8249379100,6371388300,393453800,394955800
224,6163900,69701700,50442000,12624400,12254800
206,4471000,57512600,38430000,10750000,10667900
845,346567500,4622650700,3265121300,282049900,273105300
195,5488900,51880800,32467700,9517800,9233900
582,81870800,1566742200,1055112500,118608100,115246200
673,136006900,2289334700,1752747500,148013800,169024900
56,181300,1269500,829800,553200,496800
435,34871100,566535700,410056800,55301400,54775000
933,432082000,6320701200,4557784000,400210900,330913300
548,65025300,1231968600,862138600,101562000,99734800
931,412783800,6334443300,4522977000,326068400,319126800
1002,647705300,8145152700,5788969800,442605500,481215200
996,677592700,8093316600,5546113200,391520800,371793900
154,2346500,26321800,17976500,6087000,6133300
472,51785000,846088900,537906900,73789100,69278900
441,76861200,678071100,405220700,55814300,65680100
149,1854000,23929000,14789400,5474100,5231300
269,9223100,129908600,105570700,36639400,42751400
316,20815900,319457700,185206600,31650400,30983200
