"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,22000,98100,86100,131500,81300
100,744800,7731000,6110700,3190200,2945000
200,4538600,58814900,49920900,17273000,14114500
300,13021800,234700000,171075900,37307400,35336600
400,29118500,573128600,411160200,73345000,79104400
500,66568300,992502900,837292100,111731600,109019500
600,86690800,1753627500,1421346600,210560000,169545800
700,180954700,2771504300,2348790600,265826900,250722000
800,297541700,4264647500,3658203000,395923100,393851200
900,380621000,5909710900,4732740900,483897700,571669300
1024,778439600,9316154700,7481531300,913448500,1747088600
269,32462200,400118600,323141800,73331100,73834700
684,379381200,6638997600,5185891900,619348800,604401900
872,736752100,13003209600,10314725500,1031497700,956260100
865,683711000,12237816100,10598991100,1044163200,986601100
217,15103500,174862100,149511400,63747200,50723300
443,108320400,1583503600,1324957100,209078800,220850200
682,367289200,6163209100,5086505400,590929700,576340900
310,35368900,565389100,451089900,96925600,105647300
356,59356900,922153600,625946300,171584400,131864000
20,47500,222100,205200,225400,197900
129,5669800,51693600,32099500,14574800,13408000
113,2708200,25812100,20469100,9847700,9760000
543,198019300,3045119900,2657741500,376507400,398843200
448,120382400,1743058000,1365651000,228895200,214737800
568,196496700,3562798100,2996355200,412738700,421895700
204,13729800,159147200,119832800,37738700,41454600
63,843500,5793900,21431600,3483300,3044500
65,597200,5208000,6487900,6217500,10166200
212,12519700,164006500,146138800,41613600,38763300
