"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,6700,51900,50900,47400,77400
100,504800,482100,282900,289500,562900
200,3974600,922600,1448600,1033900,898900
300,8309900,883200,1765700,1155800,738400
400,21567500,1610000,3215000,1794900,1107500
500,44565400,5428100,8521600,3695700,2883800
600,92502800,4248400,7941300,2578500,975700
700,132209600,4103700,11010500,5817800,1625200
800,235033200,3710100,5621000,7465600,1282100
900,290266700,2450900,3874800,5637300,1408500
1024,391161500,4499900,5187700,6302700,2377600
50,45400,26300,26900,27900,18700
108,405100,53300,69500,81700,36300
654,87153500,1549200,4121800,5319400,1796400
124,678100,64600,89700,104400,44000
813,178542700,1744900,2822900,3663600,1191400
244,4932400,270500,297300,514300,165400
139,930700,99200,114700,134400,60000
150,1602200,86200,124500,155200,58300
211,3364400,182200,195500,267900,85300
147,1030900,122700,142300,149000,57500
49,43600,20800,24000,24800,17700
670,93266700,1263700,1872800,2493600,870200
58,67300,21200,25300,29300,14900
158,1768900,254400,225300,267500,137600
704,131937000,5453300,3200500,3435100,3375700
142,959200,105700,113000,154400,61400
635,81888000,1114900,1698300,2395800,802600
254,5208800,224700,271600,368900,139100
595,79251000,1773300,2603100,3602100,1276000
