"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,18100,101300,78800,85300,83100
100,1000000,9054500,6375500,3144400,2842300
200,6375600,75871200,55471400,20214000,15766200
300,19149900,274738100,179438400,37073600,33987800
400,41197700,590354400,426701300,68467600,63090700
500,76924400,1140625800,789473900,104666700,96778600
600,129191200,2060916000,1484255200,168830000,158269200
700,201156100,3428003300,2317459600,232971200,216480400
800,298637200,4965645200,3536082000,309810000,284644800
900,404690100,7168943900,5222708100,398638700,371227600
1024,667004300,10828884500,8010770100,581250500,546708500
224,8100300,100126800,72691700,18206800,16703100
206,6639500,80231800,55302500,14999600,13715300
845,343809400,5890056700,4391659300,348928000,322976800
195,6007600,69315700,46865800,13623800,12448200
582,118550600,1913604400,1390757800,155343200,143229700
673,182481000,3109363300,2160414000,216188900,198072000
56,212400,1704900,1216900,799000,721600
435,52447500,777242100,555412400,78226800,72028000
933,478812500,8190481200,5877369300,433630700,399440500
548,97649600,1540887600,1130795500,137375000,126826900
931,496738400,8047765200,5723882000,427268300,401058000
1002,682473500,10187455200,7404513900,519693300,479368500
996,567426000,9925455800,6896881900,507627200,463851100
154,3090900,33651100,23994000,8429200,7640400
472,65847700,958362800,681385000,94161000,89275400
441,54861500,806794000,547702300,80510800,74395600
149,2776800,31241000,21257800,7801900,7144800
269,13689400,186357500,127961000,30058300,25940900
316,21214500,290224500,209261300,40695900,37361000
