"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
9099,40400,34099,35701,34400
552001,3266101,1771000,1105200,960899
7875100,28409201,10831900,4688700,4342100
10323100,102026600,40674600,11175700,10404200
24317701,232463100,125801600,41052099,21323199
52531000,534677600,180110799,33541499,32215800
85356100,873281300,374086999,51472699,53273400
121380501,1273449099,533729201,66118401,92403800
220204900,1945283600,827670501,92176400,87417999
270300699,3094542100,1301332200,160658299,119842401
