"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,282400,131000,158900,200100,109700
100,7630500,744400,2176000,2475500,654100
200,14792900,2048100,7807300,3135900,1338600
300,13214200,1255200,2689400,2107400,2931400
400,29945200,1680400,4133900,2806400,633000
500,58475200,1134300,1694800,1892900,836000
600,99730200,1413900,2293300,2302300,780700
700,155840600,1893400,3077600,3094400,1038200
800,255813500,2546200,4072400,4170900,1356300
900,338051200,3243400,5194100,5066500,1679000
1024,551027100,8038600,7325900,6605900,2090300
975,435091100,3874400,6177100,5908200,1896300
922,364448200,3461600,5502500,5387400,1687400
477,50143700,871200,1394600,1411900,462900
244,6708900,228700,361100,376800,120600
244,6567300,222500,353800,370600,128700
366,23116800,530800,823500,809500,263400
1013,510134100,4297500,6711500,6428700,2001000
578,89119900,1362100,2118300,2120900,695200
614,105534500,1448500,2343300,2325400,768900
685,146506300,1897400,2941500,2891300,959700
680,145089100,1797000,2949400,2940900,946500
650,125299700,1706700,2632800,2678300,854800
659,130383600,1686000,2689900,2687300,886700
237,6016600,230300,343500,361300,126600
519,64197900,1024400,1658400,1652000,529600
777,215740800,2526300,3890900,3766800,1187400
789,223677500,2406800,4000000,3915600,1245400
513,62332700,1039400,1626000,1619600,534100
765,205832000,2254300,3774900,3765300,1375400
