"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,19600,97700,106400,79900,71600
100,949800,8455600,5013700,2614900,2392400
200,5534700,64959500,37597600,10610400,9814200
300,17356400,206611700,124282400,24570100,22852700
400,38526000,519438200,275365200,45541600,42771700
500,72303200,989758200,554439600,72157900,67516600
600,124014900,1687478000,936590700,107593700,102022400
700,187591800,2627452300,1541410200,153978000,140338300
800,282602500,4024071800,2329632400,196192100,187752300
900,394677600,6006290200,3370684000,256939800,239731000
1024,637110500,8859790300,5098370600,339832000,314676200
764,241021700,3343951000,2033238100,178055800,168721000
902,394272300,6190339500,3478289000,251304400,242342900
628,137834000,1998939100,1111547800,118196600,110659000
183,4261900,50033300,28860900,8906300,8258700
343,24973100,315614500,180396900,32070100,30027000
678,171130600,2440263600,1349239000,136317000,133746400
549,94397000,1289853900,727445400,88788500,83165900
521,80421500,1126364200,619179500,78317100,73268700
962,534918100,7307140500,3987899900,293845000,280962800
420,44128800,575122500,313741800,49970200,46770500
259,11143600,137791700,81249900,18209600,16982100
415,42429400,546906900,313657900,48666800,45517500
56,197000,1612200,1032500,702700,633800
787,260004600,4040220200,2410830000,246753200,190115800
493,71266200,1009459500,536372800,72828700,69099200
660,159218000,2359217700,1357397100,131544400,123277700
603,123315100,1732113600,997018800,108143500,103390100
438,49314100,641862800,365237200,55240800,58278800
874,396297500,5496359300,3122581700,240933800,224281400
