"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,11800,69600,69900,98800,73900
100,932400,8883800,16732400,7001900,5785700
200,7487900,65932100,57936800,51788700,41161300
300,14553100,529864200,189672500,251013200,161633900
400,28836200,526468700,721648600,542332300,411031700
500,73048300,1012705000,941251300,1108981600,801346900
600,87036000,2110029200,2341160700,2871607000,1729006800
700,152038500,3021992200,2889753100,4561293700,2846816000
800,269435200,5247017600,4861145900,6933072700,3667784400
900,591374800,6380690800,5860074800,6652670600,5522457400
1024,537450400,10679899600,8451578000,12639637900,10334673600
817,226148800,4618380100,5414687300,6793969600,4274592700
899,281646600,5965335000,5492680100,7595687600,5628443500
532,82312700,1148376400,1245376600,1688939600,885394400
742,183042800,3168349500,3012436000,4424412800,3177849300
46,104700,782600,775300,948100,879700
825,219464700,4344776500,4438116500,5877714400,4185193000
314,13993700,249097000,229906100,195442000,151712600
765,189164800,3734277300,3363620800,4824075200,3327464200
406,30602300,506715500,489857100,800177200,417776600
986,458698100,7746546000,7799995700,9736180000,7113870500
739,170067400,3171631600,3058925400,4457107500,3040248200
598,87719600,1624698700,1608856800,2219965300,1709378100
881,268101200,5415282200,5039268600,6918383100,5048810900
169,3031400,35739200,33950800,36918900,23394100
85,577700,5975600,8911000,7180800,4289200
177,3063100,40870400,40914100,33952300,28249400
239,6822500,98447100,94130000,81273100,66829800
769,220665900,3598008600,3437166400,4944673800,3525454000
270,9406100,143592600,139634400,210509300,132334800
