"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
19000,56600,41801,50100,78100
491999,1195700,510501,603900,533800
3805100,10987500,3269400,2429101,2104900
10708200,26191300,8835201,6313101,5666201
24059499,58122200,17287701,10477900,8927100
60316200,105955100,27004001,14381501,12969900
69365200,176277500,50057101,35916999,20027600
112483299,330531500,132696801,30893600,28141800
174427599,507517001,130425000,43136199,38801400
246421100,665084000,208734900,52138400,47211700
