"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,9200,56900,62700,64600,96200
100,485900,535200,719400,524800,594100
200,3855500,931400,1349400,1215800,637100
300,12978300,1316300,2846200,826300,1930700
400,29777800,1269300,1422700,1262800,520000
500,58627000,2651900,2645600,3612200,6750300
600,99690800,2623100,2997600,2994100,3774800
700,156536700,2374500,2962100,4065500,1460200
800,232931800,2581100,3843100,4883800,1659000
900,334369400,2888500,4604500,6024700,1799700
1024,560717300,6372200,7149800,9691900,3276600
50,68000,36000,43000,39800,26500
108,614600,72800,97100,116500,52700
654,128416600,2128300,2686600,3581700,1324100
124,905700,92300,121400,153500,62800
813,246731000,2154100,3650400,5136400,1448600
244,6590900,306900,413800,527800,218800
139,1249500,144000,162100,192600,93200
150,1547000,132300,164400,207100,88200
211,4392600,217700,306400,370700,137300
147,1468400,134500,161800,200600,93300
49,63300,29200,32600,34700,21200
670,136807200,1759500,2585500,3644100,1121700
58,99200,28900,37200,42400,22400
158,1811000,282300,237600,291500,152300
704,159130100,4583500,3539100,4678200,2089700
142,1319600,119200,160300,200500,85500
635,116737300,1477400,2365000,3120100,1043400
254,7767000,275700,398000,540500,191900
595,96771000,2095400,2296700,3078400,1232500
