"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,861100,8937200,6272300,2733200,2580400
200,6685900,75009200,39376800,10140300,9755100
300,19439100,259451500,134763800,24056800,22765300
400,40707900,646726900,319350800,45484000,45057100
500,76964700,1113500000,600981900,72111200,68837000
600,130130200,2170343400,1120846200,157546400,109597700
700,220433600,3522529400,1916186600,168703300,142982300
800,355382000,5124339500,2722762800,195122600,209813100
900,539734400,7945662600,4399134700,265729200,253546900
1024,994214400,10906333900,5698777400,379188700,362126500
540,92598800,1559965900,892552900,87985300,86266300
705,213693400,3199800000,1744850600,146570100,154962700
181,4525400,51436200,28716100,8311300,8018900
892,475822100,6728916500,3573523200,253885400,248309800
131,2491200,22584100,11083200,4171800,3922300
1006,652030800,9559575700,5421893500,340419100,323035800
589,141229200,2024632700,1072071800,108652000,108922800
373,34624600,506345400,277875500,41842600,38776400
664,212894300,3107634100,1519947700,132871700,133536100
892,447365600,6828445400,3795812700,254993000,249843300
1000,692829500,9504648900,4932530400,325833000,316813200
278,13859200,172221500,96843500,22259500,20372900
1015,644191800,9751539000,5436842300,355371200,321297800
513,91450600,1387545400,726674100,77293200,74904600
92,1063600,8312300,4733700,2767400,3001500
129,1718800,22091900,11366800,4398000,3827700
635,158149700,2499134000,1293096100,124315500,113676400
748,271181800,4144462500,2276978300,174230400,180942100
362,28920000,441296800,234240600,39984900,35295900
885,486529500,6470856200,3642667000,264030300,248937500
