"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1094500,12408300,11361600,10037100,8768000
200,6388900,91906000,82537400,62347200,60649400
300,19396800,345355000,300278000,360148500,260370500
400,44038500,800700800,688737600,641493900,632102400
500,82957000,1519147500,1352014100,1609778300,1154781400
600,138856800,2623274100,2361627500,2388646800,1984458700
700,219616400,4343722900,3901342700,4606760400,3217110800
800,408709600,6405091700,5934658900,8351751000,5194939100
900,492667900,9159732000,8075166000,8044062900,6722963000
1024,822903000,12925084100,11545300300,11644375000,9758500800
321,24947100,392225900,351975200,287721900,248063900
57,238400,2347000,2029200,2137800,2136300
217,7998100,118176800,106981100,96107800,70991900
577,128931400,2370664800,2067987100,2257437100,1822111200
58,272500,2461500,2148700,2233000,1973600
695,214286000,4166849900,3637501000,3881966900,2592348200
81,857400,8064300,7475100,7392300,5725200
915,566493100,9446026900,8221995000,8726220700,6951377600
819,385261300,6655272700,5905872000,6286431300,5644553900
394,41318400,775178500,731366700,695927200,605626100
977,851789600,11564139000,10381140100,12065207900,10655919100
837,505710400,7244450000,6653436100,10600968400,6165130600
35,87400,827700,732500,777700,492900
743,267325100,4943109400,4394647800,4303557400,3051819100
675,190659700,3847026600,3473739500,3861630200,3043942000
967,675330900,10803360000,9755914300,9766403900,7877083500
487,75125000,1389152500,1249605700,1410868200,981078500
980,689312300,11244495300,10117740900,10435539600,8948650700
529,95010000,1769065900,1596868700,1848674000,1364456300
862,442048900,7704086100,6865222400,7003849900,7820487500
