"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1516000,2503500,762700,830000,653000
200,6368900,14794200,3443400,3229500,2919200
300,13887700,22004200,9607000,7109600,6624700
400,32315200,65448000,29412600,13875000,11893200
500,80211400,127129600,41360700,19972500,18131000
600,123890900,252582100,70068300,30798000,27430200
700,186880000,363168200,117651200,45494000,41936100
800,278110500,557712400,191076900,60502500,55730800
900,508135500,889805500,287668000,79163300,69573300
1024,722283500,1319470400,378620700,97557200,92032000
162,2265400,6492700,2512800,2286400,2391500
609,116405600,210892300,73811700,35631100,32310100
139,1750500,5161200,1667600,1749600,1546300
550,87751300,149681700,60565200,30123500,33314400
966,532359800,1076847900,286074500,90260900,78747900
33,33500,96000,68400,70900,69600
480,59429400,203863800,39889100,18984400,17705200
414,38833400,97920300,30283800,14622700,13603100
99,576600,1599400,650000,765000,727000
748,217694400,540924700,134175500,53508200,48726900
51,86000,180200,116400,148700,110900
147,1797500,4174000,1648900,1498300,1327500
46,91500,152700,126600,180900,139000
73,246400,470100,305900,350600,339300
303,14359400,38230700,12072500,7479900,6727900
372,34305400,61575900,21980300,10165500,9803100
934,588815300,1022999100,345540900,85749700,78269200
83,353700,941200,516200,608800,621400
981,607102800,1208660600,399301500,108073800,98828400
65,255600,574500,366700,367600,362100
