"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,1088300,12955900,11728800,6658900,4983200
200,7655500,135215300,72881200,20984000,19181700
300,27619900,347926800,256206000,57397200,54845300
400,45744300,855843100,604009500,99157800,95067900
500,82577200,1598728000,1285382400,175871700,163295300
600,162873100,2916541300,2282160500,335066300,286892800
700,231449000,4543084200,3620086300,433756600,416386200
800,485391300,6844904900,5458913200,555019200,660047400
900,792670900,9448492900,7807029600,633954400,772324800
1024,857603000,13438626900,10377790600,895843800,869818700
543,123237900,1885440600,1436609500,220288600,178734500
50,210500,1481200,1184900,966900,868000
528,102067700,1720006700,1389058200,191033700,289692400
477,81574700,1476967400,1102641900,143473500,133776300
489,80080000,1367637200,1046857800,152090900,139225700
789,319673200,6030995700,4671158300,473162700,444454200
622,166972500,3080348600,2360039300,269067200,253401000
951,582251600,10166404900,8020747500,644938400,656605200
562,115046000,2110905100,1797074200,261476600,318832100
465,70673000,1360753000,1049593700,144577800,136587200
699,270830700,4689367800,3374317600,379804900,397252400
448,60058400,1083280000,861961500,122658800,114971300
458,64111300,1200968100,934448500,139186600,130839000
509,92521000,1750010100,1312303300,177533300,172358600
187,5674800,75004700,58120000,17371300,16564500
280,16430800,264252600,199773400,45951400,44530600
912,666981500,10282644600,7114314700,664161700,581535900
40,108600,846600,664700,603500,540300
484,75595500,1338040400,1016645100,149495900,135543800
767,303121600,5733584200,4454389200,422290700,451260000
