"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
100,8882500,910500,2569300,3433700,1232400
200,16609300,2545100,9067000,2576200,2230800
300,68620000,1375200,4524100,2184300,3471100
400,34562200,2994900,6334500,1920800,3331900
500,65667100,2660900,2802500,2321200,3582500
600,138924700,1832500,5726900,3153300,4314600
700,228495800,12352500,18790300,4127000,1239100
800,375613000,2996400,5000300,4972200,1652900
900,629047400,4097900,6228100,5773500,1816700
1024,834887200,5807700,14482600,17231800,4055300
986,586414200,4287800,6970500,12103100,8119700
831,291709200,2644400,4641400,4322200,1633000
614,110165300,1463600,2444300,2277800,1131300
348,20984200,698300,1160800,1165600,544800
518,64263100,1027400,1673000,1631200,789700
731,193939100,2305300,3654800,3304500,1346100
106,561900,89400,76600,101200,174800
983,578884000,3482000,6653200,8776700,1719700
822,380311700,20673400,8384200,16657500,2790200
602,124708900,1960600,3211600,2384700,1037200
609,108716800,1402500,2323500,2269200,819400
315,14198300,479000,599700,580200,176800
245,6732200,341600,354400,375100,104900
439,39412000,827300,1248800,1283600,450500
762,223322200,2318800,3579200,3672100,1130500
730,194233400,2264200,3392500,3253700,968900
151,1972600,121000,145000,151100,52100
45,57900,20300,25800,25800,12200
29,15300,11100,122200,10900,7100
882,362441200,3375600,6000500,4860700,1553900
